name,start_addr,end_addr,num_inst,num_bb,add,sub,mul,div,branch,loop
sub_800B41C,134263836,134264002,55,7,0,0,1,2,8,0
sub_8015668,134305384,134305636,76,5,1,0,3,1,10,0
sub_80313F0,134419440,134419464,7,1,0,0,1,0,1,0
sub_8033690,134428304,134428330,7,1,0,0,1,0,1,0
sub_80336C8,134428360,134428386,7,1,0,0,2,0,1,0
sub_8033760,134428512,134428534,7,1,0,0,2,0,1,0
sub_80340A8,134430888,134430926,10,1,0,0,1,0,1,0
sub_80340D0,134430928,134430966,10,1,0,0,3,0,1,0
sub_80341A8,134431144,134431174,9,1,0,0,3,0,1,0
sub_803C84C,134465612,134465782,59,10,0,0,1,1,11,0
sub_804CAD8,134531800,134531832,9,1,0,0,1,0,1,0
sub_804D068,134533224,134533428,64,10,0,0,0,1,9,0
sub_804D44C,134534220,134534252,9,1,0,0,2,0,1,0
sub_80594E8,134583528,134583560,10,1,0,0,1,0,2,0
sub_8059A58,134584920,134584950,8,1,0,0,2,0,1,0
sub_805A6D8,134588120,134588366,69,19,4,0,5,3,24,0
sub_805B4B8,134591672,134591968,88,14,3,1,3,2,22,0
sub_805C454,134595668,134595684,4,2,0,0,1,0,1,0
sub_805C5DC,134596060,134596258,56,8,1,0,6,2,11,0
sub_805D814,134600724,134600996,83,10,4,0,3,2,16,0
sub_805DEA8,134602408,134602418,3,1,0,0,1,0,1,0
sub_805DF58,134602584,134602602,5,1,0,0,1,0,1,0
sub_805DFE8,134602728,134602746,5,1,0,0,1,0,1,0
sub_805DFFC,134602748,134602762,4,1,0,0,1,0,1,0
sub_805E270,134603376,134603546,53,8,0,0,0,1,15,0
sub_805E320,134603552,134603748,60,8,0,0,0,1,17,0
sub_805E3E8,134603752,134603778,8,1,0,0,2,0,1,0
sub_805E610,134604304,134604474,53,8,0,0,0,1,15,0
sub_805E6C0,134604480,134604676,60,8,0,0,0,1,17,0
sub_80622E4,134619876,134619896,5,2,0,0,1,0,1,0
sub_8063B68,134626152,134626278,38,9,0,0,0,1,11,0
sub_8063CF0,134626544,134626740,53,7,3,3,4,2,11,0
sub_8074D1C,134696220,134696486,99,15,1,0,1,1,16,0
sub_80A5798,134895512,134895744,90,19,1,0,1,1,19,0
sub_80A9C6C,134913132,134913158,10,1,0,0,1,0,2,0
sub_80AE084,134930564,134930710,41,6,0,0,2,2,9,0
